number,filename_json,filename_img,init_status,annotation_x_start,annotation_x_stop,annotation_y_start,annotation_y_stop,observed_status,observed_annotation,same_result
46,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709E.png.json,-,-,-,-,-,-,-,1
47,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5709F.png.json,-,-,-,-,-,-,-,1
48,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710A.png.json,-,-,-,-,-,-,-,1
49,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710B.png.json,-,-,-,-,-,-,-,1
50,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710C.png.json,-,-,-,-,-,-,-,1
51,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710D.png.json,-,-,-,-,-,-,-,1
52,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710E.png.json,-,-,-,-,-,-,-,1
53,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5710F.png.json,-,-,-,-,-,-,-,1
54,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711A.png.json,-,-,-,-,-,-,-,1
55,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711B.png.json,-,-,-,-,-,-,-,1
56,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711C.png.json,-,-,-,-,-,-,-,1
57,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711D.png.json,-,-,-,-,-,-,-,1
58,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711E.png.json,-,-,-,-,-,-,-,1
59,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5711F.png.json,-,-,-,-,-,-,-,1
60,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712A.png.json,-,-,-,-,-,-,-,1
61,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712B.png.json,-,-,-,-,-,-,-,1
62,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712C.png.json,-,-,-,-,-,-,-,1
63,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712D.png.json,-,-,-,-,-,-,-,1
64,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712E.png.json,-,-,-,-,-,-,-,1
65,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5712F.png.json,-,-,-,-,-,-,-,1
66,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713A.png.json,-,-,-,-,-,-,-,1
67,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713B.png.json,-,-,-,-,-,Etc_Print Error,-,0
68,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713C.png.json,-,-,-,-,-,-,-,1
69,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713D.png.json,-,-,-,-,-,-,-,1
70,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713E.png.json,-,-,-,-,-,-,-,1
71,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5713F.png.json,-,-,-,-,-,-,-,1
72,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714A.png.json,-,-,-,-,-,-,-,1
73,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714B.png.json,-,-,-,-,-,-,-,1
74,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714C.png.json,-,-,-,-,-,-,-,1
75,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714D.png.json,-,-,-,-,-,-,-,1
76,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714E.png.json,-,-,-,-,-,-,-,1
77,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5714F.png.json,-,-,-,-,-,-,-,1
78,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715A.png.json,-,-,-,-,-,-,-,1
79,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715B.png.json,-,-,-,-,-,-,-,1
80,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715C.png.json,-,-,-,-,-,-,-,1
81,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715D.png.json,-,-,-,-,-,-,-,1
82,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715E.png.json,-,-,-,-,-,-,-,1
83,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5715F.png.json,-,-,-,-,-,-,-,1
84,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716A.png.json,-,-,-,-,-,-,-,1
85,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716B.png.json,-,-,-,-,-,-,-,1
86,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716C.png.json,-,-,-,-,-,-,-,1
87,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716D.png.json,-,-,-,-,-,-,-,1
88,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716E.png.json,-,-,-,-,-,-,-,1
89,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5716F.png.json,-,-,-,-,-,-,-,1
90,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717A.png.json,-,-,-,-,-,-,-,1
91,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717B.png.json,-,-,-,-,-,-,-,1
92,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717C.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717C.png.json,-,-,-,-,-,-,-,1
93,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717D.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717D.png.json,-,-,-,-,-,-,-,1
94,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717E.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717E.png.json,-,-,-,-,-,-,-,1
95,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717F.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5717F.png.json,-,-,-,-,-,-,-,1
96,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5718A.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5718A.png.json,-,-,-,-,-,-,-,1
97,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5718B.png,D:\3D Printing\0. Dataset Project 2022\20%\5.I_FDM(2015)\I_FDMXCHPCL1XXXXXX5718B.png.json,-,-,-,-,-,-,-,1
